61285,slagelse gymnasium søger vicerektor,2016-12-14,,fast stilling,Willemoesvej 2A,4200,Slagelse,Region Sjælland	
61286,amfundsfag c,2016-12-15,,fast stilling,Vestervej 3,8500,Grenaa,Region Midtjylland	
61289,studie- og uddannelsesvejleder,2016-12-20,,fast stilling,Kottesgade 6 - 8,5000,Odense C,Region Syddanmark	
61290,dansk niveau c foråret,          ,dansk,fast stilling,         ,    ,       ,         	
61292,campus bornholm søger underviser til virksomhedsøkonomi og afsætning på hhx,          ,afsætning-virksomhedsøkonomi,fast stilling,         ,    ,       ,         	
61293,campus bornholm søger underviser til erhversret c,          ,,fast stilling,         ,    ,       ,         	
61297,årsvikar,2017-01-02,,vikariat,Læderstræde 4,4000,Roskilde,Region Sjælland	
61299,hf & vuc københavn syd søger årsvikar i matematik,2017-01-05,matematik,vikariat,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden	
61301,hf lærer pr. 1. februar 2017 eller snarest muligt,2017-01-05,,fast stilling,Stormgade 47,6700,Esbjerg,Region Syddanmark	
61304,vikar i dansk,2017-01-09,dansk,vikariat,Nørre Voldgade 5,1358,København K,Region Hovedstaden	
61306,afdelingsleder,2017-01-11,,fast stilling,Kottesgade 6 - 8,5000,Odense C,Region Syddanmark	
61307,hf & vuc københavn syd søger musik lærer,2017-01-12,musik,fast stilling,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden	
61308,vikar i engelsk og historie,2017-01-12,engelsk-historie,vikariat,Willemoesvej 2A,4200,Slagelse,Region Sjælland	
61310,vikar i engelsk,2017-01-13,engelsk,vikariat,Birketinget 9,8000,Aarhus C,Region Midtjylland	
61312,dansk,2017-01-19,dansk,fast stilling,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden	
61313,uddannelsesleder randers statsskole,2017-01-20,,fast stilling,Rådmands Boulevard 20,8900,Randers C,Region Midtjylland	
61315,rektor til nyborg gymnasium,2017-01-20,,fast stilling,Skolebakken 13,5800,Nyborg,Region Syddanmark	
61317,vikarer til biologi og geografi søges til vores hf-hold,2017-01-23,biologi-geografi,vikariat,Slotshaven 5,4300,Holbæk,Region Sjælland	
61318,vikariat i spansk,2017-01-24,spansk,vikariat,Amerikavej 5,9500,Hobro,Region Nordjylland	
61320,geografi,2017-01-25,geografi,fast stilling,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden	
61322,vicerektor på sct. knuds gymnasium,2017-01-30,,fast stilling,Læssøegade 154,5230,Odense M,Region Syddanmark	
61325,barselsvikariat i kemi,2017-01-31,kemi,vikariat,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden	
61326,vikariat i matematik,2017-02-01,matematik,vikariat,G&#246	teborg Allé 2-4,8200,Aarhus N,Region Midtjylland
61328,vuc syd søger hf-undervisere til vores e-læring,2017-02-02,,fast stilling,Lavgade 30,6200,Aabenraa,Region Syddanmark	
61329,ny uddannelsesleder til himmelev gymnasium i roskilde,2017-02-03,,fast stilling,Herregårdsvej 30,4000,Roskilde,Region Sjælland	
61330,studieadministrativ medarbejder til vuc lyngby,2017-02-03,,fast stilling,Nybrovej 114,2800,Kongens Lyngby,Region Hovedstaden	
61333,odense katedralskole søger pædagogisk leder,2017-02-10,,fast stilling,Jernbanegade 34,5100,Odense C,Region Syddanmark	
61335,uddannelseschef til gladsaxe gymnasium,2017-02-10,,fast stilling,Buddinge Hovedgade 81,2860,Søborg,Region Hovedstaden	
61336,vicedirektør campus bornholm,2017-02-13,,fast stilling,Minervavej 2,3700,Rønne,Region Hovedstaden	
61338,gux aasiaat søger kompetente og udviklingsorienterede lærerkræfter,2017-02-14,,fast stilling,Postboks 225,3950,Aasiaat,	
61339,vikar i matematik,2017-02-20,matematik,vikariat,Amerikavej 5,9500,Hobro,Region Nordjylland	
61340,et antal stillinger i biologi kemi matematik og tysk på frederiksborg gymnasium og hf,2017-02-21,biologi-kemi-matematik-tysk,fast stilling,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden	
61346,sygevikariat i biologi,2017-03-03,biologi,vikariat,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden	
61349,ledige stillinger i samfundsfag mediefag og billedkunst,2017-03-08,billedkunst-mediefag-samfundsfag,fast stilling,Slotshaven 5,4300,Holbæk,Region Sjælland	
61350,ledig stilling i fysik eller kemi i kombination med matematik,2017-03-06,fysik-kemi-matematik,fast stilling,Læssøegade 154,5230,Odense M,Region Syddanmark	
61351,helhedsvejleder,2017-03-09,,fast stilling,Milnersvej 40,3400,Hillerød,Region Hovedstaden	
61352,uddannelsesleder - fjerritslev gymnasium,2017-03-13,,fast stilling,Skovbrynet 9,9690,Fjerritslev,Region Nordjylland	
61353,undervisere til handelsgymnasiet på campus vejle,2017-03-13,,fast stilling,Boulevarden 48,7100,Vejle,Region Syddanmark	
61354,vuc syd søger udviklingskonsulent,2017-03-15,,fast stilling,Lavgade 30,6200,Aabenraa,Region Syddanmark	
61356,vikariat i engelsk på kvuc,2017-03-16,engelsk,vikariat,Vognmagergade 8,1120,København K,Region Hovedstaden	
61358,herning gymnasium søger dygtige og engagerede undervisere til motiverede og ambitiøse elever,2017-03-16,,fast stilling,H. P. Hansens Vej 8,7400,Herning,Region Midtjylland	
61361,slagelse gymnasium - søger vikar i dansk og oldtidskundskab,2017-03-17,dansk-oldtidskundskab,vikariat,Willemoesvej 2A,4200,Slagelse,Region Sjælland	
61362,fuldmægtig til kontor for gymnasiale uddannelser,2017-03-20,,fast stilling,Frederiksholm Kanal 21,1220,København K,Region Hovedstaden	
61363,sankt annæ gymnasium søger uddannelsesleder,2017-03-20,,fast stilling,Sjælør Boulevard 135,2500,Valby,Region Hovedstaden	
61364,gymnasielærer søges til undervisning i mediefag,2017-03-20,mediefag,fast stilling,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland	
61365,gymnasielærer søges til undervisning i matematik,2017-03-21,matematik,fast stilling,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland	
61366,fast stilling i samfundsfag,2017-03-23,samfundsfag,fast stilling,Prinsessegade 35,1422,København K,Region Hovedstaden	
61367,positions as international teachers at viborg katedralskole,2017-03-20,,fast stilling,Gl. Skivevej 2,8800,Viborg,Region Midtjylland	
61368,studievejleder til nordvestsjællands hf og vuc,2017-03-21,,fast stilling,Slotshaven 5,4300,Holbæk,Region Sjælland	
61369,gux nuuk søger nye kolleger,2017-03-21,,fast stilling,C.E. Jansensvej 11,3900,Nuuk,	
61374,undervisningsministeriet søger lærer til europaskolen i luxembourg ii,2017-03-28,,fast stilling,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden	
61376,fysiklærer på tørring gymnasium,2017-03-25,fysik,fast stilling,Kirkevej 20,7160,Tørring,Region Midtjylland	
61381,underviser til matematik på hf,2017-03-29,matematik,fast stilling,Nålemagervej 110,8920,Randers NV,Region Midtjylland	
61385,underviser til talentfulde elever,2017-03-29,,fast stilling,Akademigrunden 18,4180,Sorø,Region Sjælland	
61386,pædagogisk leder ved vestfyns gymnasium,2017-03-30,,fast stilling,Langbygårdsvej 4,5620,Glamsbjerg,Region Syddanmark	
61387,faste stillinger og årsvikariater til mariagerfjord gymnasium,2017-03-30,,vikariat,Amerikavej 5,9500,Hobro,Region Nordjylland	
61389,vil du være en del af roskilde katedralskole,2017-03-30,,fast stilling,Holbækvej 59,4000,Roskilde,Region Sjælland	
61391,sankt annæ gymnasium - en skole med musik i,2017-03-31,musik,fast stilling,Sjælør Boulevard 135,2500,Valby,Region Hovedstaden	
61401,årsvikariater ved sct. knuds gymnasium,2017-04-03,,vikariat,Læssøegade 154,5230,Odense M,Region Syddanmark	
61405,greve gymnasium søger lærere til august 2017,2017-04-03,,fast stilling,Rådhusholmen 12,2670,Greve,Region Sjælland	
61408,vil du være lærer på roskilde gymnasium?,2017-04-04,,fast stilling,Domkirkepladsen,4000,Roskilde,Region Sjælland	
61409,dansk- og historielærer til lycée français prins henrik,2017-04-04,dansk-historie,fast stilling,Frederiksberg allé 22 A,1820,Frederiksberg C,Region Hovedstaden	
61410,ib teacher in biology and biotechnology,2017-04-04,,fast stilling,Gl. Skivevej 2,8800,Viborg,Region Midtjylland	
61413,- økonomi- og administrationschef,2017-04-05,,fast stilling,Munkevej 9,7700,Thisted,Region Nordjylland	
61414,2-3 faste stillinger og nogle årsvikarer,          ,,vikariat,         ,    ,       ,         	
61416,studievejleder,2017-04-05,,fast stilling,Munkevej 9,7700,Thisted,Region Nordjylland	
61418,ledige stillinger i matematik og fysik ved stenhus gymnasium & hf,2017-04-06,fysik-matematik,fast stilling,Stenhusvej 20,4300,Holbæk,Region Sjælland	
61419,2-3 faste stillinger på fredericia gymnasium,2017-04-07,,fast stilling,Nørrebrogade 88,7000,Fredericia,Region Syddanmark	
61420,ievejleder til vuc lyngby,2017-04-06,,fast stilling,Nybrovej 114,2800,Kongens Lyngby,Region Hovedstaden	
61422,støvring gymnasium søger lærere,2017-04-06,,fast stilling,Mastrupvej 77,9530,Støvring,Region Nordjylland	
