61366,fast stilling i samfundsfag,2017-03-23,samfundsfag,,Prinsessegade 35,1422,København K,Region Hovedstaden;
61376,fysiklærer på tørring gymnasium,2017-03-25,fysik,,Kirkevej 20,7160,Tørring,Region Midtjylland;
61381,underviser til matematik på hf,2017-03-29,matematik,,Nålemagervej 110,8920,Randers NV,Region Midtjylland;
61391,sankt annæ gymnasium - en skole med musik i,2017-03-31,musik,,Sjælør Boulevard 135,2500,Valby,Region Hovedstaden;
61409,dansk- og historielærer til lycée français prins henrik,2017-04-04,dansk,,Frederiksberg allé 22 A,1820,Frederiksberg C,Region Hovedstaden;
61409,dansk- og historielærer til lycée français prins henrik,2017-04-04,historie,,Frederiksberg allé 22 A,1820,Frederiksberg C,Region Hovedstaden;
61418,ledige stillinger i matematik og fysik ved stenhus gymnasium & hf,2017-04-06,fysik,,Stenhusvej 20,4300,Holbæk,Region Sjælland;
61418,ledige stillinger i matematik og fysik ved stenhus gymnasium & hf,2017-04-06,matematik,,Stenhusvej 20,4300,Holbæk,Region Sjælland;
61425,matematiklærer søges til oure kostgymnasium,2017-04-06,matematik,,Idrætsvej 1,5883,Oure,Region Syddanmark;
61439,gentofte hf søger engelskvikar,2017-04-11,engelsk,,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61444,ledig stilling i engelsk i kombination med et andet fag,2017-04-18,engelsk,,Læssøegade 154,5230,Odense M,Region Syddanmark;
61445,støvring gymnasium søger lærer i naturgeografi,2017-04-18,geografi,,Mastrupvej 77,9530,Støvring,Region Nordjylland;
61446,esbjerg gymnasium søger nye kolleger til: matematik, fysik, kemi, naturgeografi, dansk, engelsk, tysk, spansk
61447,årsvikariat i oldtidskundskab på stenhus gymnasium & hf,2017-04-19,oldtidskundskab,,Stenhusvej 20,4300,Holbæk,Region Sjælland;
61456,vikar i matematik og fysik på høje taastrup gymnasium,2017-04-21,fysik,,Frøgaard Allé 2,2630,Taastrup,Region Hovedstaden;
61456,vikar i matematik og fysik på høje taastrup gymnasium,2017-04-21,matematik,,Frøgaard Allé 2,2630,Taastrup,Region Hovedstaden;
61457,viborg katedralskole søger dygtige lærere i engelsk, spansk, historie,2017-04-21,engelsk-historie-spansk,,Gl. Skivevej 2,8800
61459,engelsklærer på tørring gymnasium,2017-04-23,engelsk,,Kirkevej 20,7160,Tørring,Region Midtjylland;
61462,ledig stilling til faget spansk på birkerød gymnasium, hf, ib & kostskole,2017-04-24,spansk,,Søndervangen 56,3460
61464,tysk vikar søges til hf,2017-04-24,tysk,,Slotshaven 5,4300,Holbæk,Region Sjælland;
